drug,brand,modality,application,indNumbers,approvalStatus,reviewYear,evidenceType,stage,topicTags,summary,limitation,sources,verificationDate
Gadoxetate disodium,Eovist · Gd-EOB-DTPA,Small molecule · contrast agent,NDA 022090,54875,Original application approved 2008-07-03,2008,reproduced,later,Nonclinical evidence; Reproductive toxicity; Genotoxicity,"The appendix explicitly attaches earlier IND reviews of reproductive/developmental toxicity, in-vivo genotoxicity, and local tolerance. The opening study provides fertility-study design, test material, dose groups, and GLP information.",These retained studies do not establish the full initial IND package or that reproductive studies were needed before every first human dose.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2008/022090s000_PharmR.pdf#page=72,2026-09-16
Drospirenone / ethinyl estradiol,Yasmin,Small molecule combination,NDA 021098,,Original application approved 2001-05-11,2001,reproduced,initial,Nonclinical evidence; Pharmacology; Reproductive toxicity,The NDA review identifies reproductive and genetic toxicology reviewed with the original 1996 IND submission and lists its pharmacology review as an attachment. Retained text describes the hormone pharmacology and receptor effects.,The appendix is split across the approval package; the linked Part 1 does not contain every later page. The original submission date and the later review date are distinct.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-098_Yasmin_pharmr_P1.pdf#page=34 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-098_Yasmin_pharmr_P1.pdf#page=40,2026-09-16
Nitisinone,Orfadin · NTBC / SC-0735,Small molecule,NDA 021232,,Original application approved 2002-01-18,2002,summary,later,Nonclinical evidence; Study reuse; Data quality,The reviewer discusses reuse of an interrupted toxicity study after the compound acquired a therapeutic development path. The discussion refers back to IND-review observations on ocular injury and the limitations of retained study records.,A narrow retrospective IND-linked passage. This source is not itself proof that the complete earlier IND review survives in the online package; QA and incomplete reporting limit interpretation.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-232_ORFADIN_pharmr_P1.pdf#page=23,2026-09-16
Halobetasol propionate lotion,Ultravate lotion,Small molecule,NDA 208183,,Original application approved 2015-11-06,2015,reproduced,initial,Nonclinical evidence; Formulation; Clinical bridging; FDA questions,"A December 2008 memorandum preserves sponsor questions and FDA answers on the first vasoconstrictor-assay study. It accepts prior systemic-safety knowledge plus formulation-specific irritation information, then distinguishes bridging and later local-safety work.","An established corticosteroid in a new formulation under a 505(b)(2) strategy, not a new molecular entity. IND identity and some sponsor information are redacted.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/208183Orig1s000Admincorres.pdf#page=103,2026-09-16
Vestronidase alfa-vjbk,Mepsevii · UX003,Biologic · enzyme replacement,BLA 761047,123788,Original application approved 2017-11-15,2017,reproduced,later,Nonclinical evidence; Study reuse; Biologic,"The BLA reviewer explicitly identifies nonclinical safety material excerpted from a 2014 preliminary IND safety review. It shows how prior review work is carried forward, with additional reproductive studies distinguished from the earlier set.",The source excerpt does not establish that every summarized study preceded the first human dose. One earlier table truncates the IND number; the previous-reviews section gives 123788.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/761047Orig1s000PharmR.pdf#page=13,2026-09-16
Cinacalcet hydrochloride,Sensipar · AMG 073,Small molecule,NDA 021688,56010,Original application approved 2004-03-08,2004,reproduced,initial,Nonclinical evidence; Dose justification; PK/PD; Clinical monitoring,"The 1998 original-IND pharmacology review combines animal toxicity, prior human PK/PD, and the proposed patient-study design. Its evaluation links the planned 75 mg maximum to exposure margins and clinical monitoring.",Original U.S. IND does not mean first-in-human: this review already describes previous Phase 1 exposure and proposes a Phase 2 study. Avoid treating its historical margins as general rules.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-688.pdf_Sensipar_Pharmr_P5.pdf#page=7 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2004/21-688.pdf_Sensipar_Pharmr_P5.pdf#page=16,2026-09-16
Baricitinib,Olumiant · INCB028050 / LY3009104,Small molecule,NDA 207924,102204,Original application approved 2018-05-31,2018,reproduced,later,Nonclinical evidence; Exposure limits; Study duration; Reversibility,"Multiple IND reviews are appended. A 2009 memo recalls initial dosing/exposure restrictions and evaluates whether longer rat/dog studies support an extended rheumatoid-arthritis trial. It weighs reversible, monitorable effects and toxicokinetic margins.","The retained memo concerns an amendment and longer clinical exposure. A reviewer recommendation is not itself the complete regulatory action letter, and later chronic-study expectations are context-specific.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/207924Orig1s000PharmR.pdf#page=246,2026-09-16
Glycopyrrolate inhalation solution,Lonhala Magnair · EP-101,Small molecule,NDA 208437,110663,Original application approved 2017-12-05,2017,reproduced,initial,Nonclinical evidence; CMC; Impurities; Device; Study reuse,The actual 2011 initial-IND review assesses reliance on existing systemic-safety knowledge plus inhalation toxicology. A follow-up memo analyzes impurity specifications and drug stability before and after nebulization during the initial trial.,A new inhalation presentation of an established drug. Some impurity limits are redacted. Historical statements in the memo should not be treated as current impurity guidance.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208437Orig1s000PharmR.pdf#page=31 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2017/208437Orig1s000PharmR.pdf#page=70,2026-09-16
Cemiplimab,Libtayo · REGN2810,Biologic · monoclonal antibody,BLA 761097,123950; 127100,Original application approved 2018-09-28,2018,summary,later,Patient selection; Endpoints; FDA meetings; Clinical design,"A breakthrough-designation review recounts initial-study authorization and later pre-IND advice for cutaneous squamous-cell carcinoma. FDA discusses prior-treatment eligibility, multidisciplinary assessment, separate population analyses, and the meaning of response.","These are disease-expansion and later clinical-development decisions, not a reproduced first-in-human nonclinical review. The document has minor date inconsistencies in later milestone text.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/761097Orig1s000OtherR.pdf#page=13,2026-09-16
Futibatinib,Lytgobi · TAS-120,Small molecule,NDA 214801,121062,Original application approved 2022-09-30,2022,summary,later,Partial clinical hold; Dose justification; CMC; Companion diagnostic,"The FDA assessment explains a partial hold on the Phase 2 component of a combined Phase 1/2 protocol, involving product quality and clinical concerns. Clinical safety, preliminary activity, and expansion-dose rationale supported lifting the hold; diagnostic bridging was also discussed.",A partial hold did not stop every component of the program. Applicant-authored chronology and FDA assessment are labeled separately; the cited FDA assessment supplies the substantive explanation.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/214801Orig1s000MultidisciplineR.pdf#page=35,2026-09-16
Oteseconazole,Vivjoa · VT-1161,Small molecule,NDA 215888,111675,Original application approved 2022-04-26,2022,summary,later,Clinical design; Endpoints; FDA feedback; Carcinogenicity,The regulatory history connects the initial single-dose IND with end-of-Phase-1 feedback and a later Phase 2a protocol that FDA considered exploratory. A separate appended statistical review under the IND evaluates long-term carcinogenicity studies.,The absence of an initial hold does not imply agreement with a later efficacy design. Carcinogenicity review belongs to later development; it is not presented as a universal first-dose prerequisite.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/215888Orig1s000IntegratedR.pdf#page=127 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2022/215888Orig1s000IntegratedR.pdf#page=353,2026-09-16
Lenacapavir,Sunlenca · GS-6207,Small molecule,NDA 215973,136260; 138311,Original application approved 2022-12-22,2023,summary,later,Clinical hold; CMC; Container closure; Injection-site reactions,The integrated package preserves an earlier assessment connecting glass particulate contamination and uncertain injection-site risk to a December 2021 full clinical hold and a nonapproval recommendation. Its history also describes pre-IND advice on alternative injectable formulations.,The product was subsequently approved; the cited hold/nonapproval passage is an earlier review embedded in the package. It does not establish that particles caused every injection-site reaction. NDA 215974 covers the oral presentation.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215973%2C215974Orig1s000IntegratedR.pdf#page=319 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215973%2C215974Orig1s000IntegratedR.pdf#page=332,2026-09-16
Minocycline hydrochloride foam,Amzeeq · FMX-101,Small molecule,NDA 212379,122770,Original application approved 2019-10-18,2019,reproduced,later,Nonclinical evidence; Study duration; Formulation; FDA questions,"An appended IND review retains end-of-Phase-2 questions and answers. It distinguishes dermal toxicology supporting a 12-week trial from longer studies supporting an extension and eventual NDA, including the timing of ongoing animal exposure.","Later IND development of a new topical route, not the original first-dose review. Agreement on study design remained conditional on review of final reports.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/212379Orig1s000MultidisciplineR.pdf#page=140 | https://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/212379Orig1s000MultidisciplineR.pdf#page=147,2026-09-16
Nirmatrelvir / ritonavir,Paxlovid · PF-07321332,Small molecule combination,NDA 217188,153517,Original application approved 2023-05-25,2023,summary,initial,Clinical hold; Submission completeness; Clinical protocol; CMC,"The regulatory history records a January 2021 initial full hold because FDA lacked a protocol, sufficient CMC information, investigator information, and an investigator’s brochure. It dates the complete response and hold removal, then separates subsequent EUA/NDA planning.","This is a retrospective account, not the complete hold letter or original IND. These administrative/scientific omissions should not be misrepresented as evidence that the molecule itself failed toxicology.",https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/217188Orig1s000IntegratedR.pdf#page=183,2026-09-16
Tabelecleucel,EBV-specific T-cell immunotherapy,Biologic · cell therapy,BLA 125745,,openFDA snapshot: Unapproved (dataset updated 2026-08-13); cited letter 01/09/2026,2026,crl,marketing,Clinical design; External control; Patient selection; Next study,"The January 2026 letter explains why heterogeneity, treatment confounding, and study design limited interpretation of the single-arm ALLELE study. FDA offers to review a detailed new protocol under the existing IND, including the choice of control.","This is a BLA nonapproval letter and a proposed route back to IND-stage study planning. It is not an IND refusal or an original IND review. Snapshot status is application-specific, not a global statement about the therapy.",https://download.open.fda.gov/crl/CRL_BLA125745_20260109.pdf#page=1,2026-09-16
Clemidsogene lanparvovec,RGX-121,Biologic · gene therapy,BLA 125840,,openFDA snapshot: Unapproved (dataset updated 2026-08-13); cited letter 02/07/2026,2026,crl,marketing,Patient selection; Surrogate endpoint; Natural history; Clinical design,"The 2026 letter explicitly traces concerns across pre-IND, IND, and BLA meetings: identifying neuronopathic MPS II, comparing the external-control population, and interpreting a novel CSF biomarker threshold. Agreement in principle on a protocol did not resolve those evidence questions.","A marketing-application assessment, not the full earlier meeting record. Some meeting details are redacted. Unapproved is the FDA dataset’s snapshot classification for this application.",https://download.open.fda.gov/crl/CRL_BLA125840_20260207.pdf#page=1,2026-09-16
Vusolimogene oderparepvec,RP1 · with nivolumab,Biologic · oncolytic virus,BLA 125827,,openFDA snapshot: Unapproved (dataset updated 2026-08-13); cited letter 04/10/2026,2026,crl,marketing,Combination contribution; Clinical design; Patient selection; FDA meetings,The 2026 letter quotes 2021 IND-meeting advice to isolate each component’s contribution in a combination and later advice on interpretability of response. It connects those earlier concerns to the BLA assessment of a heterogeneous single-arm population.,This is a later FDA account quoting earlier advice; the entire IND meeting package is not reproduced. The requested combination’s nonapproval is not an IND hold.,https://download.open.fda.gov/crl/CRL_BLA125827_20260410.pdf#page=3,2026-09-16
Phenobarbital sodium injection,Hikma neonatal-seizure application,Small molecule,NDA 218258,,openFDA snapshot: Unapproved (dataset updated 2026-08-13); cited letter 01/23/2024,2024,crl,marketing,Right of reference; Data access; Clinical evidence,FDA says a publication alone did not provide analyzable efficacy and safety data for independent review. The letter explains that referencing another holder’s IND information requires a Letter of Authorization.,"A nonapproval of this specific application, not a statement that all phenobarbital products are unapproved. This is an NDA-stage evidence-access lesson rather than an earlier IND-review extract.",https://download.open.fda.gov/crl/CRL_NDA218258_20240123.pdf#page=1,2026-09-16
Arimoclomol,Miplyffa,Small molecule,NDA 214927,,openFDA snapshot: Approved (dataset updated 2026-08-13); cited letter 06/17/2021,2021,crl,marketing,Endpoints; FDA advice; Clinical outcome assessment; Statistics,"The 2021 CRL recounts 2016–2019 IND-development advice about the definition, reliability, and validity of the NPC severity scale. It explains how unresolved measurement concerns affected the later assessment of treatment benefit.",The application is listed Approved in the later dataset; this letter records an earlier nonapproval. It does not establish the current approved indication or provide the full eventual approval rationale.,https://download.open.fda.gov/crl/214927_2024_Orig1s000OtherActionLtrs.pdf#page=3,2026-09-16
Fosphenytoin sodium injection,Sesquient,Small molecule,NDA 210864,,openFDA snapshot: Approved (dataset updated 2026-08-13); cited letter 03/22/2019,2019,crl,marketing,CMC; Compendial standards; Pre-IND meeting,An additional product-quality comment recalls advice beginning at a 2006 pre-IND meeting about pH and impurity limits under the USP monograph. It shows that a CMC issue can persist across multiple development interactions.,The source explicitly calls this particular monograph comment a non-approvability issue; do not present it as the reason for the CRL. Other deficiencies are listed separately. Historical application snapshot: Approved.,https://download.open.fda.gov/crl/210864_2021_Orig1s000OtherActionLtrs.pdf#page=13,2026-09-16
Glucagon injection,Gvoke · proposed IV diagnostic use,Peptide,NDA 212097/S-012,156281,openFDA snapshot: Approved (dataset updated 2026-08-13); cited letter 02/09/2024,2024,crl,marketing,Formulation; Clinical bridging; Compatibility; CMC,"FDA distinguishes compatibility data generated for an IND formulation, XP-9164, from the Gvoke vial formulation proposed in the supplement. It requests evidence on the actual product and administration conditions, including comparative physical behavior.",The CRL addresses a supplement for IV diagnostic use. The original product’s approval and the FDA dataset’s Approved label do not mean that this proposed use was approved by this letter.,https://download.open.fda.gov/crl/212097-s012_OtherActionLtrs.pdf#page=3 | https://download.open.fda.gov/crl/212097-s012_OtherActionLtrs.pdf#page=1,2026-09-16
Chlorhexidine gluconate / isopropyl alcohol,SoluPrep,Small molecule combination,NDA 208288,076549,openFDA snapshot: Approved (dataset updated 2026-08-13); cited letter 05/06/2016,2016,crl,marketing,Endpoints; Controls; Replicate evidence; FDA advice,The 2016 letter refers to an IND advice request rejecting an alternative efficacy analysis if the positive control failed. It asks for a repeat inguinal-region study with adequate controls after one pivotal study failed its prespecified endpoint.,A later CRL referencing earlier IND advice; it is not the original advice letter. The product appears in the Approved snapshot after subsequent development.,https://download.open.fda.gov/crl/208288_2018_Orig1s000OtherActionLtrs.pdf#page=7,2026-09-16
Budesonide oral suspension,Eohilia · BOS,Small molecule,NDA 213976,103173,openFDA snapshot: Approved (dataset updated 2026-08-13); cited letter 12/17/2021,2021,crl,marketing,Clinical benefit; Duration of effect; Endpoints; FDA meetings,The 2021 letter lists repeated IND meetings emphasizing durable efficacy in eosinophilic esophagitis. It explains why short-term histologic and symptom findings did not answer the long-term question then under review.,The application later appears Approved. Read this as a historical assessment of the requested evidence and regimen; it does not summarize the later approved label.,https://download.open.fda.gov/crl/213976_2024_Orig1s000OtherActionLtrs.pdf#page=3,2026-09-16
"Hematopoietic progenitor cells, cord blood",StemCyte,Biologic · cell therapy,BLA 125764,,openFDA snapshot: Approved (dataset updated 2026-08-13); cited letter 01/20/2023,2023,crl,marketing,Donor eligibility; CMC; Investigational use; Product release,The letter distinguishes cord-blood units meeting licensure criteria from units from ineligible donors that may be used under an IND for urgent medical need. FDA requests revised procedures and forms preserving that distinction.,"A BLA-stage quality/licensure issue with a specific investigational-use pathway, not an initial efficacy-trial review. The pathway should not be generalized to all biological products.",https://download.open.fda.gov/crl/CRL_BLA125764_20230120.pdf#page=4,2026-09-16
